Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
Luke Sanders,1,59 of 140,42%,62 of 143,0 of 0,0%,0,0,0
Khabib Nurmagomedov,0,134 of 304,44%,172 of 352,6 of 15,40%,1,7,0
Rose Namajunas,0,105 of 301,34%,108 of 304,1 of 2,50%,0,0,0
Renato Moicano,0,116 of 206,56%,117 of 207,0 of 0,0%,0,0,0
Zabit Magomedsharipov,0,97 of 217,44%,114 of 237,5 of 11,45%,0,1,0
Chris Gruetzemacher,0,128 of 196,65%,135 of 203,0 of 0,0%,0,0,0
Karolina Kowalkiewicz,0,126 of 248,50%,140 of 262,0 of 3,0%,0,1,1
Olivier Aubin-Mercier,1,13 of 18,72%,13 of 18,0 of 0,0%,0,0,0
Ashlee Evans-Smith,0,116 of 331,35%,121 of 337,1 of 4,25%,0,0,0
Devin Clark,0,50 of 64,78%,167 of 200,7 of 11,63%,0,2,0
Alexander Volkov,1,48 of 90,53%,96 of 144,2 of 2,100%,0,0,0
Jan Blachowicz,1,97 of 191,50%,124 of 219,1 of 6,16%,0,0,0
Tom Duquesnoy,0,67 of 153,43%,70 of 156,0 of 3,0%,0,0,0
Leon Edwards,1,42 of 86,48%,71 of 117,1 of 2,50%,0,4,1
Charles Byrd,0,11 of 14,78%,34 of 41,1 of 1,100%,1,3,0
Danny Roberts,1,4 of 10,40%,4 of 10,0 of 0,0%,0,0,0
Danny Henry,1,2 of 5,40%,2 of 5,0 of 0,0%,1,0,0
Paul Craig,0,18 of 50,36%,34 of 70,2 of 7,28%,1,1,0
Kajan Johnson,0,33 of 54,61%,37 of 58,2 of 4,50%,0,2,0
Dmitry Sosnovskiy,0,28 of 40,70%,53 of 71,2 of 3,66%,2,5,1
Cris Cyborg,0,33 of 43,76%,42 of 54,1 of 1,100%,0,0,0
Brian Ortega,1,25 of 76,32%,25 of 77,0 of 0,0%,0,0,0
Sean O'Malley,0,63 of 111,56%,73 of 121,0 of 0,0%,3,1,1
Andrei Arlovski,0,46 of 88,52%,76 of 121,4 of 9,44%,0,2,1
Ketlen Vieira,0,41 of 71,57%,96 of 139,2 of 2,100%,1,7,0
Mackenzie Dern,0,70 of 143,48%,76 of 149,1 of 6,16%,1,1,0
Alexander Hernandez,1,8 of 13,61%,9 of 14,0 of 0,0%,0,1,0
John Dodson,0,76 of 184,41%,76 of 184,0 of 0,0%,0,0,0
CB Dollaway,0,13 of 19,68%,13 of 19,0 of 0,0%,0,0,0
Zak Ottow,1,22 of 50,44%,26 of 56,0 of 0,0%,0,0,0
Cody Stamann,0,95 of 166,57%,115 of 186,0 of 1,0%,0,0,0
Jordan Johnson,0,59 of 106,55%,176 of 239,2 of 11,18%,0,0,0
Jeremy Stephens,1,24 of 57,42%,24 of 57,0 of 0,0%,0,0,0
Jessica Andrade,0,92 of 178,51%,151 of 237,10 of 12,83%,0,8,1
Ilir Latifi,1,25 of 41,60%,27 of 43,0 of 0,0%,1,0,0
Max Griffin,1,78 of 168,46%,81 of 171,0 of 1,0%,0,0,0
Brian Kelleher,0,94 of 203,46%,145 of 256,1 of 4,25%,0,0,0
Marion Reneau,0,23 of 39,58%,37 of 55,0 of 0,0%,1,0,0
Angela Hill,0,114 of 209,54%,121 of 216,1 of 2,50%,0,1,0
Alan Jouban,2,78 of 141,55%,78 of 141,0 of 0,0%,0,1,0
Sam Alvey,2,10 of 19,52%,14 of 23,1 of 1,100%,0,1,0
Rani Yahya,0,17 of 20,85%,105 of 149,2 of 3,66%,2,5,1
Alex Perez,0,29 of 82,35%,67 of 123,5 of 9,55%,0,1,0
Manny Bermudez,0,12 of 28,42%,27 of 43,1 of 5,20%,3,4,2
Donald Cerrone,3,28 of 57,49%,28 of 57,0 of 1,0%,0,0,0
Derrick Lewis,2,30 of 45,66%,32 of 47,1 of 2,50%,0,2,0
James Vick,1,68 of 158,43%,72 of 162,1 of 2,50%,0,0,0
Curtis Millender,2,47 of 106,44%,47 of 106,0 of 0,0%,0,0,0
Brandon Davis,0,114 of 285,40%,119 of 291,0 of 1,0%,0,1,0
Sage Northcutt,0,63 of 138,45%,125 of 204,1 of 9,11%,0,1,0
Diego Ferreira,1,29 of 60,48%,29 of 60,0 of 0,0%,0,2,0
Geoff Neal,0,14 of 31,45%,15 of 32,0 of 0,0%,1,0,0
Roberto Sanchez,0,2 of 3,66%,2 of 3,3 of 3,100%,1,2,0
Lucie Pudilova,2,75 of 134,55%,107 of 171,0 of 0,0%,0,2,1
Alex Morono,1,7 of 19,36%,7 of 19,0 of 0,0%,1,0,0
Oskar Piechota,1,17 of 22,77%,17 of 22,0 of 0,0%,0,0,0
Yoel Romero,1,45 of 92,48%,52 of 99,0 of 0,0%,0,0,0
Curtis Blaydes,0,56 of 105,53%,126 of 184,10 of 14,71%,0,10,0
Tai Tuivasa,0,38 of 51,74%,39 of 52,0 of 0,0%,0,0,0
Jake Matthews,2,63 of 127,49%,89 of 156,2 of 4,50%,1,4,0
Tyson Pedro,0,12 of 23,52%,17 of 28,0 of 1,0%,1,0,0
Dong Hyun Ma,0,67 of 153,43%,68 of 154,0 of 0,0%,0,0,0
Israel Adesanya,1,52 of 75,69%,70 of 94,0 of 0,0%,0,0,0
Alexander Volkanovski,0,73 of 120,60%,105 of 158,2 of 3,66%,0,4,0
Jussier Formiga,1,27 of 49,55%,50 of 72,2 of 4,50%,1,4,0
Ross Pearson,0,58 of 176,32%,59 of 177,0 of 0,0%,0,0,0
Jose Quinonez,0,49 of 98,50%,54 of 103,2 of 7,28%,0,1,0
Luke Jumeau,0,63 of 130,48%,64 of 131,1 of 1,100%,0,0,0
Lyoto Machida,0,62 of 112,55%,66 of 116,0 of 0,0%,0,0,0
Valentina Shevchenko,0,95 of 113,84%,230 of 254,2 of 2,100%,2,4,0
Michel Prazeres,0,36 of 72,50%,70 of 106,3 of 8,37%,3,3,0
Tim Johnson,0,77 of 146,52%,139 of 217,0 of 6,0%,0,0,0
Douglas Silva de Andrade,0,97 of 232,41%,99 of 234,1 of 3,33%,0,0,0
Thiago Santos,2,58 of 82,70%,80 of 106,0 of 1,0%,0,0,1
Sergio Moraes,0,87 of 192,45%,89 of 195,0 of 1,0%,0,0,0
Alan Patrick,0,28 of 45,62%,91 of 129,9 of 15,60%,0,6,0
Polyana Viana,0,12 of 18,66%,25 of 35,1 of 2,50%,3,4,1
Iuri Alcantara,1,17 of 30,56%,17 of 30,0 of 0,0%,0,1,0
Deiveson Figueiredo,1,31 of 62,50%,44 of 76,2 of 2,100%,1,3,0
Jacare Souza,1,9 of 21,42%,9 of 21,0 of 1,0%,0,0,0
Andre Fili,0,80 of 229,34%,93 of 242,4 of 12,33%,0,1,0
Gregor Gillespie,0,34 of 55,61%,42 of 63,1 of 2,50%,0,7,0
Drew Dober,0,145 of 322,45%,161 of 338,0 of 6,0%,0,0,0
Bobby Green,0,110 of 194,56%,134 of 220,1 of 5,20%,0,2,1
Mirsad Bektic,1,12 of 33,36%,12 of 34,0 of 0,0%,0,0,0
Katlyn Chookagian,0,68 of 252,26%,71 of 257,0 of 1,0%,1,0,0
Randa Markos,0,46 of 65,70%,114 of 149,2 of 7,28%,0,6,1
Ji Yeon Kim,0,68 of 215,31%,68 of 216,0 of 0,0%,0,0,0
Vinc Pichel,0,60 of 186,32%,62 of 188,1 of 4,25%,0,0,0
Niko Price,0,24 of 47,51%,35 of 67,2 of 5,40%,3,3,1
Cory Sandhagen,1,80 of 147,54%,108 of 179,1 of 1,100%,0,1,1
Stipe Miocic,0,70 of 95,73%,200 of 244,6 of 14,42%,0,4,0
Daniel Cormier,0,32 of 61,52%,84 of 113,2 of 3,66%,1,3,0
Calvin Kattar,1,85 of 194,43%,86 of 195,0 of 1,0%,0,0,0
Gian Villante,0,74 of 209,35%,74 of 209,0 of 0,0%,0,0,0
Rob Font,2,41 of 132,31%,48 of 139,1 of 3,33%,0,0,0
Kyle Bochniak,0,33 of 132,25%,35 of 134,3 of 15,20%,0,0,0
Abdul Razak Alhassan,1,13 of 33,39%,20 of 42,0 of 0,0%,0,0,0
Dustin Ortiz,0,36 of 80,45%,92 of 147,7 of 12,58%,0,1,2
Julio Arce,0,72 of 201,35%,87 of 216,0 of 0,0%,0,0,0
Enrique Barzola,0,55 of 122,45%,73 of 143,5 of 10,50%,0,0,0
Islam Makhachev,1,3 of 6,50%,3 of 6,0 of 0,0%,0,0,0
Jeremy Stephens,1,49 of 133,36%,49 of 133,0 of 0,0%,0,0,0
Jessica-Rose Clark,0,55 of 98,56%,78 of 122,2 of 3,66%,1,4,1
Kamaru Usman,0,50 of 66,75%,112 of 132,8 of 19,42%,0,7,0
Darren Elkins,0,18 of 64,28%,54 of 108,1 of 4,25%,1,2,0
James Krause,0,35 of 67,52%,56 of 93,3 of 11,27%,2,4,1
Polo Reyes,2,18 of 39,46%,19 of 40,0 of 0,0%,0,0,0
Irene Aldana,0,70 of 171,40%,148 of 258,1 of 2,50%,0,6,3
Kyung Ho Kang,0,3 of 11,27%,28 of 36,1 of 2,50%,1,1,0
Jessica Eye,0,25 of 49,51%,53 of 86,3 of 4,75%,6,3,0
JJ Aldrich,0,54 of 150,36%,67 of 164,1 of 5,20%,0,1,0
Mads Burnell,0,20 of 34,58%,110 of 169,3 of 7,42%,1,11,1
Cris Cyborg,0,118 of 223,52%,131 of 237,0 of 0,0%,0,0,0
Khabib Nurmagomedov,0,89 of 177,50%,154 of 246,4 of 13,30%,0,4,0
Dan Hooker,0,17 of 40,42%,24 of 48,2 of 3,66%,1,1,0
Carla Esparza,0,48 of 138,34%,62 of 153,2 of 9,22%,1,0,1
Neil Magny,0,32 of 114,28%,64 of 150,6 of 9,66%,0,1,0
Myles Jury,0,41 of 83,49%,56 of 100,2 of 3,66%,0,2,1
Matheus Nicolau,3,87 of 172,50%,107 of 196,3 of 4,75%,2,6,0
Tim Elliott,0,12 of 24,50%,54 of 75,1 of 1,100%,2,6,2
Rafael Dos Anjos,0,172 of 291,59%,219 of 343,2 of 7,28%,0,1,0
Josh Emmett,1,10 of 38,26%,10 of 38,0 of 0,0%,0,0,0
Santiago Ponzinibbio,1,78 of 200,39%,81 of 203,3 of 3,100%,0,2,0
Glover Teixeira,0,13 of 21,61%,13 of 22,1 of 1,100%,1,2,0
Jan Blachowicz,1,50 of 127,39%,65 of 143,4 of 5,80%,0,2,0
Julian Marquez,0,32 of 64,50%,37 of 69,0 of 3,0%,3,1,0
Chad Laprise,0,20 of 39,51%,42 of 66,1 of 1,100%,0,2,0
Nordine Taleb,1,5 of 5,100%,5 of 5,0 of 0,0%,0,0,0
John Makdessi,1,47 of 104,45%,57 of 119,0 of 0,0%,0,0,0
Alessio Di Chirico,1,6 of 37,16%,6 of 37,1 of 1,100%,0,0,0
Jordan Mein,0,51 of 127,40%,97 of 183,3 of 4,75%,1,4,0
Brian Ortega,0,24 of 70,34%,24 of 70,0 of 1,0%,2,0,0
Gabriel Benitez,0,85 of 192,44%,91 of 199,0 of 0,0%,0,1,0
Marlon Moraes,2,7 of 14,50%,10 of 17,0 of 0,0%,0,0,0
Scott Holtzman,0,49 of 82,59%,173 of 212,7 of 11,63%,0,5,0
Eryk Anders,0,79 of 141,56%,104 of 171,2 of 4,50%,0,3,0
Benito Lopez,1,78 of 187,41%,79 of 188,0 of 0,0%,1,1,0
Alexis Davis,0,23 of 63,36%,132 of 182,1 of 3,33%,2,2,1
Andre Soukhamthath,1,20 of 49,40%,23 of 52,0 of 0,0%,0,0,0
Alex Perez,0,24 of 40,60%,42 of 62,2 of 4,50%,3,1,0
Frankie Saenz,0,58 of 106,54%,66 of 115,0 of 3,0%,0,0,0
Alejandro Perez,0,35 of 97,36%,38 of 100,0 of 3,0%,0,0,0
Davi Ramos,0,55 of 124,44%,65 of 136,5 of 9,55%,1,5,0
Trevin Giles,1,70 of 113,61%,77 of 120,0 of 0,0%,0,0,0
Max Holloway,0,174 of 397,43%,181 of 406,0 of 0,0%,0,1,0
Francis Ngannou,1,6 of 14,42%,11 of 20,0 of 0,0%,0,0,0
Henry Cejudo,0,36 of 83,43%,85 of 148,3 of 5,60%,0,3,0
Eddie Alvarez,1,155 of 356,43%,162 of 366,1 of 2,50%,0,0,0
Tecia Torres,0,95 of 173,54%,154 of 238,1 of 2,50%,0,1,0
Paul Felder,0,31 of 46,67%,37 of 52,0 of 0,0%,0,2,0
Yancy Medeiros,2,75 of 151,49%,78 of 155,1 of 1,100%,0,2,1
David Teymur,0,52 of 137,37%,71 of 164,1 of 3,33%,0,0,0
Felice Herrig,0,76 of 262,29%,82 of 268,1 of 2,50%,0,1,0
Amanda Cooper,0,40 of 60,66%,131 of 184,1 of 3,33%,1,9,0
Abdul Razak Alhassan,1,27 of 61,44%,34 of 70,1 of 3,33%,0,0,0
Dominick Reyes,0,16 of 28,57%,27 of 42,1 of 1,100%,1,2,0
Justin Willis,1,22 of 44,50%,25 of 47,0 of 0,0%,0,0,0
Nicco Montano,0,186 of 456,40%,242 of 524,3 of 6,50%,1,5,1
Sean O'Malley,0,141 of 252,55%,142 of 255,3 of 6,50%,0,0,0
Lauren Murphy,0,59 of 197,29%,77 of 222,2 of 2,100%,0,1,0
Gerald Meerschaert,1,36 of 85,42%,45 of 95,0 of 0,0%,0,0,1
Brett Johns,0,1 of 9,11%,1 of 9,0 of 0,0%,1,0,0
Montana De La Rosa,0,6 of 17,35%,8 of 19,0 of 0,0%,1,0,0
Ryan Janes,0,159 of 267,59%,200 of 312,0 of 0,0%,0,0,0
Rachael Ostovich,0,3 of 13,23%,5 of 15,1 of 1,100%,1,1,0
Shana Dobson,1,34 of 95,35%,36 of 97,0 of 0,0%,0,0,0
Gillian Robertson,0,2 of 6,33%,4 of 8,1 of 1,100%,1,2,0
Kelvin Gastelum,1,14 of 27,51%,14 of 27,0 of 0,0%,0,0,0
Jingliang Li,1,26 of 50,52%,27 of 51,0 of 0,0%,0,0,0
Wang Guan,1,71 of 164,43%,75 of 169,0 of 3,0%,0,1,0
Alex Garcia,0,6 of 24,25%,21 of 39,3 of 7,42%,1,3,0
Zabit Magomedsharipov,0,34 of 70,48%,60 of 101,11 of 15,73%,1,10,1
Kenan Song,1,14 of 14,100%,15 of 15,0 of 0,0%,0,0,0
Yan Xiaonan,0,96 of 211,45%,106 of 222,0 of 0,0%,0,0,0
Song Yadong,1,8 of 29,27%,9 of 30,0 of 0,0%,1,0,0
Shamil Abdurakhimov,1,6 of 10,60%,6 of 10,0 of 0,0%,0,0,0
Gina Mazany,0,38 of 65,58%,202 of 255,5 of 7,71%,0,1,0
Rolando Dy,1,26 of 99,26%,35 of 109,0 of 1,0%,0,1,1
Cyril Asker,0,20 of 35,57%,91 of 119,4 of 4,100%,1,3,0
Fabricio Werdum,0,155 of 265,58%,179 of 290,1 of 7,14%,0,2,0
Jessica-Rose Clark,0,101 of 174,58%,108 of 181,2 of 3,66%,1,3,1
Belal Muhammad,0,88 of 221,39%,90 of 224,1 of 5,20%,0,1,0
Jake Matthews,0,20 of 34,58%,50 of 69,4 of 11,36%,0,4,1
Elias Theodorou,0,118 of 250,47%,128 of 261,0 of 0,0%,0,0,1
Alexander Volkanovski,0,68 of 114,59%,79 of 128,5 of 14,35%,0,9,0
Ryan Benoit,1,45 of 93,48%,47 of 95,0 of 1,0%,0,0,0
Nik Lentz,0,34 of 82,41%,40 of 88,0 of 2,0%,1,1,1
Tai Tuivasa,1,22 of 36,61%,22 of 36,0 of 2,0%,0,0,0
Frank Camacho,0,154 of 299,51%,212 of 360,1 of 5,20%,0,1,1
Nadia Kassem,0,52 of 105,49%,134 of 204,0 of 1,0%,6,1,2
Eric Shelton,0,86 of 116,74%,184 of 225,5 of 7,71%,0,4,0
Adam Wieczorek,0,42 of 95,44%,73 of 129,0 of 1,0%,0,1,0
Dustin Poirier,0,53 of 100,53%,71 of 119,5 of 6,83%,0,3,0
Matt Brown,1,18 of 34,52%,20 of 36,0 of 0,0%,0,0,0
Andrei Arlovski,0,92 of 203,45%,106 of 217,0 of 1,0%,0,0,0
Cezar Ferreira,0,47 of 81,58%,96 of 135,2 of 4,50%,0,1,0
Raphael Assuncao,1,46 of 154,29%,48 of 156,0 of 0,0%,0,0,0
Clay Guida,1,24 of 40,60%,31 of 48,0 of 0,0%,0,0,0
Marlon Moraes,0,45 of 131,34%,45 of 131,1 of 2,50%,1,0,0
Tatiana Suarez,0,71 of 106,66%,144 of 197,4 of 5,80%,0,13,0
Sage Northcutt,0,79 of 161,49%,82 of 166,3 of 5,60%,0,1,0
Nina Ansaroff,0,143 of 309,46%,146 of 312,0 of 1,0%,0,0,0
Sean Strickland,0,78 of 254,30%,109 of 288,3 of 3,100%,1,3,0
Jake Collier,0,94 of 247,38%,124 of 279,0 of 2,0%,0,0,2
Karl Roberson,0,17 of 23,73%,21 of 29,1 of 1,100%,2,1,0
Georges St-Pierre,1,59 of 119,49%,68 of 131,3 of 4,75%,1,2,0
TJ Dillashaw,2,20 of 81,24%,23 of 85,0 of 1,0%,0,0,0
Rose Namajunas,1,15 of 34,44%,18 of 37,0 of 0,0%,0,0,0
Stephen Thompson,1,70 of 156,44%,70 of 156,0 of 0,0%,0,0,0
Paulo Costa,1,49 of 90,54%,49 of 90,0 of 0,0%,0,0,0
James Vick,1,42 of 137,30%,43 of 138,0 of 0,0%,0,0,0
Mark Godbeer,0,3 of 15,20%,9 of 22,0 of 0,0%,0,0,0
Ovince Saint Preux,1,23 of 49,46%,30 of 56,0 of 0,0%,0,0,0
Randy Brown,0,41 of 70,58%,60 of 99,1 of 1,100%,0,2,0
Curtis Blaydes,1,39 of 101,38%,50 of 112,4 of 4,100%,0,1,0
Ricardo Ramos,1,42 of 94,44%,45 of 97,3 of 5,60%,0,1,0
Derek Brunson,1,10 of 24,41%,10 of 24,0 of 0,0%,0,0,0
Colby Covington,0,88 of 317,27%,121 of 351,0 of 0,0%,0,0,0
Pedro Munhoz,0,20 of 48,41%,20 of 48,0 of 1,0%,1,1,1
Francisco Trinaldo,0,63 of 140,45%,84 of 165,1 of 1,100%,0,2,0
Thiago Santos,1,28 of 79,35%,29 of 80,0 of 0,0%,0,0,0
John Lineker,0,77 of 171,45%,93 of 188,0 of 0,0%,0,0,0
Vicente Luque,1,61 of 113,53%,61 of 113,0 of 0,0%,1,0,0
Antonio Carlos Junior,0,11 of 27,40%,35 of 51,1 of 1,100%,1,3,0
Jared Gordon,0,101 of 210,48%,163 of 285,2 of 7,28%,0,4,0
Elizeu Zaleski dos Santos,0,84 of 176,47%,94 of 186,0 of 5,0%,0,1,0
Deiveson Figueiredo,0,19 of 48,39%,22 of 52,1 of 4,25%,5,0,0
Marcelo Golm,0,35 of 54,64%,47 of 70,1 of 1,100%,1,2,0
Darren Till,1,24 of 55,43%,24 of 55,0 of 0,0%,0,0,0
Karolina Kowalkiewicz,0,127 of 333,38%,142 of 348,1 of 2,50%,0,1,0
Jan Blachowicz,0,33 of 44,75%,50 of 63,1 of 1,100%,1,1,0
Oskar Piechota,1,56 of 93,60%,80 of 121,1 of 3,33%,3,3,0
Marcin Held,0,19 of 89,21%,59 of 137,3 of 10,30%,1,3,0
Brian Kelleher,1,79 of 147,53%,116 of 194,1 of 1,100%,1,3,1
Ramazan Emeev,0,38 of 71,53%,51 of 84,1 of 9,11%,0,0,0
Andre Fili,1,55 of 145,37%,76 of 166,5 of 6,83%,0,3,0
Warlley Alves,0,38 of 95,40%,55 of 113,2 of 7,28%,0,0,0
Aspen Ladd,0,26 of 60,43%,45 of 84,1 of 1,100%,0,2,0
Josh Emmett,4,67 of 211,31%,78 of 231,1 of 2,50%,0,1,0
Tony Ferguson,0,54 of 103,52%,57 of 106,0 of 0,0%,2,0,0
Demetrious Johnson,0,64 of 81,79%,172 of 212,8 of 8,100%,2,19,0
Fabricio Werdum,0,0 of 1,0%,0 of 1,1 of 1,100%,1,2,0
Mara Romero Borella,0,3 of 5,60%,16 of 18,1 of 1,100%,1,3,0
Cody Stamann,0,66 of 168,39%,81 of 185,4 of 5,80%,0,2,0
Poliana Botelho,0,67 of 105,63%,157 of 212,1 of 1,100%,0,0,0
Matt Schnell,0,38 of 140,27%,38 of 140,0 of 2,0%,1,0,0
John Moraga,1,8 of 14,57%,8 of 14,0 of 1,0%,0,0,0
Brad Tavares,1,70 of 136,51%,80 of 146,0 of 0,0%,0,0,0
Ovince Saint Preux,0,0 of 0,0%,3 of 3,0 of 0,0%,1,3,0
Jessica Andrade,0,141 of 241,58%,242 of 355,4 of 7,57%,0,5,0
Dong Hyun Ma,1,13 of 20,65%,13 of 20,0 of 0,0%,0,0,0
Gokhan Saki,2,40 of 66,60%,40 of 66,0 of 0,0%,0,0,0
Teruto Ishihara,1,50 of 98,51%,77 of 127,2 of 6,33%,0,2,0
Jussier Formiga,0,9 of 22,40%,12 of 27,1 of 1,100%,2,4,0
Keita Nakamura,0,27 of 86,31%,29 of 88,2 of 2,100%,0,2,0
Syuri Kondo,0,135 of 284,47%,137 of 286,0 of 0,0%,0,0,0
Shinsho Anzai,0,51 of 95,53%,97 of 152,1 of 12,8%,0,1,0
Daichi Abe,1,63 of 183,34%,65 of 185,1 of 1,100%,0,1,0
Luke Rockhold,0,58 of 85,68%,68 of 97,2 of 5,40%,0,2,0
Mike Perry,1,11 of 18,61%,11 of 18,0 of 0,0%,0,0,0
Anthony Smith,1,35 of 115,30%,38 of 118,0 of 1,0%,0,0,0
Gregor Gillespie,1,20 of 56,35%,34 of 73,4 of 6,66%,1,6,0
Kamaru Usman,1,16 of 48,33%,16 of 48,0 of 0,0%,0,0,0
Justin Ledet,0,36 of 126,28%,36 of 126,0 of 0,0%,0,0,0
Olivier Aubin-Mercier,0,20 of 46,43%,47 of 78,4 of 7,57%,0,6,0
Daniel Spitz,0,5 of 6,83%,5 of 6,1 of 1,100%,0,0,0
Uriah Hall,1,26 of 44,59%,26 of 44,0 of 0,0%,0,0,0
Gilbert Burns,1,42 of 95,44%,50 of 104,2 of 3,66%,0,0,0
Amanda Nunes,0,86 of 176,48%,90 of 180,2 of 8,25%,0,2,0
Rafael Dos Anjos,0,13 of 16,81%,17 of 21,0 of 0,0%,1,3,0
Henry Cejudo,1,34 of 58,58%,39 of 64,2 of 2,100%,0,0,0
Ilir Latifi,0,44 of 79,55%,59 of 94,4 of 5,80%,0,4,0
Jeremy Stephens,5,96 of 250,38%,101 of 255,0 of 0,0%,0,1,0
Ketlen Vieira,0,17 of 21,80%,35 of 45,1 of 1,100%,2,1,0
Sarah Moras,0,3 of 6,50%,5 of 9,0 of 1,0%,1,0,0
Rick Glenn,1,142 of 237,59%,184 of 289,4 of 7,57%,1,1,0
Alex White,3,57 of 115,49%,62 of 122,0 of 0,0%,0,0,0
Arjan Bhullar,1,24 of 50,48%,60 of 96,1 of 1,100%,0,1,0
Kajan Johnson,1,26 of 63,41%,26 of 63,0 of 0,0%,0,0,0
Alexander Volkov,1,135 of 253,53%,144 of 264,2 of 2,100%,0,1,0
Siyar Bahadurzada,3,43 of 81,53%,44 of 82,0 of 0,0%,1,0,0
Marion Reneau,0,57 of 127,44%,118 of 192,0 of 0,0%,5,2,1
Leon Edwards,0,23 of 51,45%,58 of 87,3 of 6,50%,3,5,0
Darren Till,0,49 of 87,56%,50 of 88,1 of 1,100%,0,0,0
Mairbek Taisumov,1,2 of 4,50%,2 of 4,0 of 0,0%,0,0,0
Michel Prazeres,0,26 of 48,54%,43 of 69,4 of 6,66%,1,15,0
Rustam Khabilov,0,34 of 108,31%,35 of 109,3 of 11,27%,0,0,0
Aleksandar Rakic,0,46 of 150,30%,75 of 179,0 of 0,0%,0,0,0
Zabit Magomedsharipov,0,45 of 65,69%,70 of 97,1 of 3,33%,2,2,2
Abdul-Kerim Edilov,0,77 of 125,61%,150 of 210,2 of 2,100%,1,0,0
Thibault Gouti,1,41 of 86,47%,43 of 88,0 of 0,0%,0,0,0
Sergio Pettis,0,76 of 235,32%,84 of 244,0 of 1,0%,0,0,0
Alexa Grasso,0,64 of 157,40%,121 of 224,0 of 0,0%,0,1,1
Niko Price,1,10 of 19,52%,10 of 19,0 of 0,0%,0,1,0
Humberto Bandenay,1,5 of 7,71%,5 of 7,0 of 0,0%,0,0,0
Sam Alvey,0,40 of 87,45%,51 of 99,0 of 0,0%,0,0,0
Alejandro Perez,0,44 of 141,31%,97 of 195,1 of 6,16%,0,1,0
Jack Hermansson,0,38 of 54,70%,49 of 65,1 of 1,100%,0,2,0
Dustin Ortiz,1,8 of 10,80%,8 of 10,0 of 0,0%,0,0,0
Rani Yahya,0,3 of 4,75%,14 of 15,1 of 2,50%,2,2,0
Jose Quinonez,0,59 of 112,52%,70 of 125,1 of 4,25%,0,2,0
Joseph Morales,1,12 of 22,54%,15 of 26,0 of 0,0%,1,1,0
Jordan Rinaldi,0,6 of 12,50%,7 of 13,0 of 0,0%,1,1,0
Tyron Woodley,1,57 of 153,37%,57 of 153,0 of 0,0%,0,0,0
Cris Cyborg,1,74 of 143,51%,75 of 144,0 of 1,0%,0,0,0
Robbie Lawler,0,77 of 156,49%,85 of 164,0 of 1,0%,0,0,0
Volkan Oezdemir,0,12 of 19,63%,13 of 20,0 of 0,0%,0,0,0
Ricardo Lamas,0,42 of 62,67%,43 of 63,1 of 1,100%,0,2,0
Aljamain Sterling,0,71 of 121,58%,112 of 166,1 of 1,100%,0,1,0
Brian Ortega,0,65 of 220,29%,65 of 220,0 of 2,0%,1,0,0
Calvin Kattar,0,75 of 160,46%,80 of 166,2 of 3,66%,0,0,0
Alexandra Albu,0,82 of 181,45%,109 of 221,5 of 8,62%,0,2,0
Jarred Brooks,0,27 of 80,33%,32 of 87,5 of 8,62%,1,1,0
Drew Dober,1,15 of 29,51%,20 of 34,0 of 1,0%,0,0,0
Chris Weidman,0,36 of 76,47%,75 of 124,7 of 13,53%,2,5,0
Darren Elkins,0,70 of 154,45%,99 of 189,3 of 10,30%,2,2,0
Patrick Cummins,0,86 of 182,47%,92 of 188,1 of 11,9%,0,0,0
Jimmie Rivera,2,70 of 160,43%,75 of 165,2 of 6,33%,0,0,0
Elizeu Zaleski dos Santos,0,83 of 219,37%,84 of 220,1 of 7,14%,0,0,0
Eryk Anders,1,23 of 29,79%,23 of 29,1 of 2,50%,0,2,0
Alex Oliveira,1,8 of 21,38%,8 of 21,0 of 1,0%,1,0,0
Chase Sherman,0,111 of 228,48%,112 of 229,0 of 0,0%,0,0,0
Jeremy Kennedy,0,41 of 94,43%,59 of 118,8 of 14,57%,0,4,0
Marlon Vera,0,5 of 15,33%,5 of 15,0 of 0,0%,2,0,0
Junior Albini,1,21 of 35,60%,28 of 42,0 of 0,0%,0,0,0
Shane Burgos,3,102 of 197,51%,144 of 243,1 of 1,100%,0,0,0
Chris Wade,0,23 of 43,53%,51 of 79,3 of 8,37%,2,7,1
Santiago Ponzinibbio,1,7 of 12,58%,7 of 12,0 of 0,0%,0,0,0
Cynthia Calvillo,0,54 of 111,48%,62 of 119,2 of 5,40%,2,2,0
Paul Felder,1,23 of 35,65%,28 of 41,0 of 0,0%,0,1,0
Jack Marshman,0,75 of 217,34%,83 of 225,0 of 0,0%,0,0,0
Khalil Rountree Jr.,1,15 of 47,31%,15 of 47,0 of 0,0%,0,0,0
Justin Willis,0,52 of 91,57%,72 of 114,3 of 4,75%,0,2,0
Danny Roberts,1,24 of 65,36%,29 of 71,0 of 1,0%,0,0,0
Alexandre Pantoja,1,119 of 227,52%,131 of 239,1 of 1,100%,1,2,0
Galore Bofando,0,10 of 25,40%,10 of 25,1 of 1,100%,0,0,0
Danny Henry,1,93 of 174,53%,153 of 243,1 of 3,33%,2,8,0
Brett Johns,0,56 of 104,53%,172 of 231,3 of 5,60%,1,2,0
